claim_id,policy_id,claim_date,claim_status,paid_amount,reserve_amount,claim_type
CLM00001,POL00001,2023-09-04,Closed,19209.93,0.0,Third Party Liability
CLM00002,POL00002,2024-01-12,Open,2088.75,27442.64,Natural Calamity
CLM00003,POL00003,2023-10-10,Open,1062.35,4362.5,Burglary
CLM00004,POL00005,2023-10-14,Closed,124859.99,0.0,Accidental Damage
CLM00005,POL00012,2024-05-24,Closed,24998.08,0.0,Accidental Damage
CLM00006,POL00012,2024-08-01,Closed,51175.71,0.0,Fire
CLM00007,POL00016,2024-08-09,Closed,55458.91,0.0,Theft
CLM00008,POL00017,2024-09-24,Closed,25757.19,0.0,Theft
CLM00009,POL00021,2024-03-15,Closed,32340.36,0.0,Medical Reimbursement
CLM00010,POL00022,2024-11-16,Closed,46530.45,0.0,Third Party Liability
CLM00011,POL00026,2024-09-06,Closed,29917.31,0.0,Medical Reimbursement
CLM00012,POL00029,2023-05-04,Closed,13418.62,0.0,Burglary
CLM00013,POL00030,2023-07-05,Open,1833.01,10970.15,Third Party Liability
CLM00014,POL00030,2023-08-23,Closed,9448.64,0.0,Natural Calamity
CLM00015,POL00033,2024-03-10,Open,1152.63,30835.51,Medical Reimbursement
CLM00016,POL00034,2024-09-24,Closed,9200.6,0.0,Fire
CLM00017,POL00036,2023-10-05,Reopened,11452.59,2999.02,Burglary
CLM00018,POL00036,2023-10-08,Closed,14706.42,0.0,Fire
CLM00019,POL00042,2023-12-14,Closed,78678.46,0.0,Burglary
CLM00020,POL00043,2024-11-06,Closed,34783.67,0.0,Theft
CLM00021,POL00045,2023-04-20,Closed,67886.28,0.0,Medical Reimbursement
CLM00022,POL00049,2024-04-29,Closed,32665.5,0.0,Third Party Liability
CLM00023,POL00049,2024-03-17,Closed,147608.26,0.0,Medical Reimbursement
CLM00024,POL00053,2024-06-29,Reopened,5693.63,1940.92,Natural Calamity
CLM00025,POL00054,2024-11-06,Closed,12933.36,0.0,Medical Reimbursement
CLM00026,POL00055,2024-05-30,Closed,6316.76,0.0,Theft
CLM00027,POL00056,2024-06-12,Closed,5322.09,0.0,Medical Reimbursement
CLM00028,POL00059,2024-03-10,Closed,9814.26,0.0,Accidental Damage
CLM00029,POL00064,2023-04-14,Closed,2605.72,0.0,Medical Reimbursement
CLM00030,POL00071,2024-11-14,Closed,10801.05,0.0,Medical Reimbursement
CLM00031,POL00075,2024-08-09,Closed,55691.53,0.0,Burglary
CLM00032,POL00075,2024-02-03,Closed,58580.88,0.0,Theft
CLM00033,POL00081,2023-10-10,Reopened,5629.62,2236.5,Accidental Damage
CLM00034,POL00081,2024-03-09,Closed,12625.91,0.0,Accidental Damage
CLM00035,POL00086,2023-12-25,Open,2661.89,8711.38,Medical Reimbursement
CLM00036,POL00090,2023-12-15,Closed,42014.81,0.0,Medical Reimbursement
CLM00037,POL00095,2024-03-26,Reopened,8712.79,4496.03,Natural Calamity
CLM00038,POL00102,2024-06-06,Closed,8218.46,0.0,Natural Calamity
