expense_id,policy_id,expense_type,expense_amount,expense_date
EXP00001,POL00001,Agent Commission,2776.74,2023-03-17
EXP00002,POL00001,IT Allocation,1793.28,2023-10-29
EXP00003,POL00002,Agent Commission,18803.01,2023-10-17
EXP00004,POL00002,Survey Fee,5012.99,2024-06-24
EXP00005,POL00002,Policy Admin,5844.72,2024-08-11
EXP00006,POL00003,Broker Fee,1872.7,2023-06-28
EXP00007,POL00003,Survey Fee,962.13,2023-08-16
EXP00008,POL00004,Broker Fee,8921.65,2023-12-01
EXP00009,POL00004,IT Allocation,1480.01,2023-12-12
EXP00010,POL00005,Agent Commission,16621.47,2023-03-12
EXP00011,POL00005,Survey Fee,6773.99,2023-08-27
EXP00012,POL00006,Agent Commission,5661.69,2024-04-17
EXP00013,POL00006,Survey Fee,1636.41,2025-01-23
EXP00014,POL00006,Survey Fee,2288.49,2025-03-03
EXP00015,POL00007,Broker Fee,10054.05,2024-08-21
EXP00016,POL00007,Survey Fee,2831.62,2025-06-11
EXP00017,POL00007,IT Allocation,1826.69,2025-06-12
EXP00018,POL00008,Broker Fee,4247.89,2023-06-10
EXP00019,POL00008,IT Allocation,1901.45,2024-01-05
EXP00020,POL00008,IT Allocation,952.18,2023-08-15
EXP00021,POL00009,Agent Commission,11919.07,2024-06-25
EXP00022,POL00009,IT Allocation,5003.34,2024-12-25
EXP00023,POL00010,Agent Commission,9410.5,2023-12-16
EXP00024,POL00010,Policy Admin,4482.73,2023-12-27
EXP00025,POL00010,IT Allocation,4050.19,2024-08-22
EXP00026,POL00011,Agent Commission,8870.03,2024-06-05
EXP00027,POL00011,Policy Admin,2796.74,2025-04-20
EXP00028,POL00012,Broker Fee,7248.57,2024-01-22
EXP00029,POL00012,Policy Admin,2687.51,2024-11-28
EXP00030,POL00012,IT Allocation,3206.8,2024-04-26
EXP00031,POL00013,Agent Commission,16134.53,2024-05-16
EXP00032,POL00013,IT Allocation,3912.33,2025-03-27
EXP00033,POL00013,IT Allocation,5720.36,2024-09-20
EXP00034,POL00014,Agent Commission,3953.55,2023-09-06
EXP00035,POL00014,Policy Admin,1988.35,2023-12-03
EXP00036,POL00015,Broker Fee,12882.88,2023-05-14
EXP00037,POL00015,IT Allocation,3115.25,2023-09-01
EXP00038,POL00015,Policy Admin,1773.14,2023-06-26
EXP00039,POL00016,Broker Fee,7906.8,2024-07-08
EXP00040,POL00016,Survey Fee,1938.92,2024-10-23
EXP00041,POL00016,Policy Admin,3816.77,2025-05-06
EXP00042,POL00017,Broker Fee,7090.13,2024-06-17
EXP00043,POL00017,Survey Fee,3054.95,2025-03-07
EXP00044,POL00018,Agent Commission,6469.99,2023-01-12
EXP00045,POL00018,Survey Fee,3431.07,2023-11-08
EXP00046,POL00018,IT Allocation,2977.49,2023-07-30
EXP00047,POL00019,Agent Commission,3537.19,2023-10-15
EXP00048,POL00019,Policy Admin,1468.38,2024-08-18
EXP00049,POL00019,Policy Admin,1220.3,2024-03-03
EXP00050,POL00020,Agent Commission,17862.76,2023-09-11
EXP00051,POL00020,Survey Fee,8699.35,2024-04-14
EXP00052,POL00021,Agent Commission,17881.28,2024-03-01
EXP00053,POL00021,Survey Fee,4607.56,2024-04-22
EXP00054,POL00021,Policy Admin,7227.3,2024-08-28
EXP00055,POL00022,Agent Commission,5771.7,2023-12-17
EXP00056,POL00022,Survey Fee,1658.45,2024-10-12
EXP00057,POL00022,Survey Fee,1326.67,2024-03-30
EXP00058,POL00023,Agent Commission,10605.0,2023-10-18
EXP00059,POL00023,Policy Admin,4424.98,2024-02-05
EXP00060,POL00024,Agent Commission,4130.66,2024-07-11
EXP00061,POL00024,Policy Admin,1150.69,2024-09-09
EXP00062,POL00024,IT Allocation,2491.17,2025-03-26
EXP00063,POL00025,Agent Commission,7899.67,2024-05-10
EXP00064,POL00025,IT Allocation,4400.94,2025-01-24
EXP00065,POL00025,Policy Admin,5375.26,2025-01-23
EXP00066,POL00026,Broker Fee,28701.05,2023-10-23
EXP00067,POL00026,Policy Admin,9638.51,2024-01-03
EXP00068,POL00027,Broker Fee,10238.02,2023-07-17
EXP00069,POL00027,IT Allocation,3514.81,2024-02-10
EXP00070,POL00028,Broker Fee,3573.47,2023-02-21
EXP00071,POL00028,Policy Admin,868.03,2023-03-07
EXP00072,POL00028,IT Allocation,1249.5,2023-09-13
EXP00073,POL00029,Broker Fee,5714.2,2023-03-16
EXP00074,POL00029,Policy Admin,1804.21,2023-08-03
EXP00075,POL00029,Survey Fee,2020.19,2024-01-29
EXP00076,POL00030,Broker Fee,3125.76,2023-03-28
EXP00077,POL00030,Survey Fee,1088.05,2023-10-11
EXP00078,POL00031,Broker Fee,9139.86,2023-10-02
EXP00079,POL00031,IT Allocation,2801.81,2024-07-29
EXP00080,POL00032,Agent Commission,4075.6,2024-08-04
EXP00081,POL00032,Survey Fee,2214.57,2025-05-20
EXP00082,POL00032,Policy Admin,2303.25,2024-11-17
EXP00083,POL00033,Agent Commission,6509.61,2024-01-17
EXP00084,POL00033,Policy Admin,1295.4,2024-10-05
EXP00085,POL00034,Broker Fee,4871.7,2024-07-24
EXP00086,POL00034,Policy Admin,977.63,2025-05-17
EXP00087,POL00034,Policy Admin,1169.55,2024-10-22
EXP00088,POL00035,Broker Fee,2928.28,2023-10-09
EXP00089,POL00035,Survey Fee,1170.12,2024-04-04
EXP00090,POL00036,Broker Fee,18299.43,2023-09-17
EXP00091,POL00036,IT Allocation,6339.93,2024-03-22
EXP00092,POL00037,Agent Commission,4654.46,2023-12-12
EXP00093,POL00037,Survey Fee,1868.34,2024-05-11
EXP00094,POL00038,Broker Fee,4179.61,2023-04-30
EXP00095,POL00038,IT Allocation,2260.93,2023-11-16
EXP00096,POL00038,Policy Admin,1279.67,2024-03-23
EXP00097,POL00039,Broker Fee,5366.37,2024-03-19
EXP00098,POL00039,Policy Admin,2056.77,2024-05-01
EXP00099,POL00039,Survey Fee,1009.4,2024-07-20
EXP00100,POL00040,Broker Fee,4243.18,2023-09-18
EXP00101,POL00040,Survey Fee,1836.08,2024-04-12
EXP00102,POL00040,IT Allocation,2305.01,2024-03-26
EXP00103,POL00041,Broker Fee,9179.15,2023-06-19
EXP00104,POL00041,Policy Admin,2073.76,2023-07-07
EXP00105,POL00042,Broker Fee,21455.67,2023-09-17
EXP00106,POL00042,Policy Admin,4657.19,2024-04-12
EXP00107,POL00043,Broker Fee,6635.18,2024-04-20
EXP00108,POL00043,IT Allocation,1611.52,2024-11-15
EXP00109,POL00044,Agent Commission,5582.58,2023-12-03
EXP00110,POL00044,IT Allocation,1869.54,2024-01-25
EXP00111,POL00044,Survey Fee,2393.71,2024-06-29
EXP00112,POL00045,Broker Fee,14038.63,2023-02-01
EXP00113,POL00045,Policy Admin,3690.5,2023-05-06
EXP00114,POL00046,Broker Fee,3059.12,2024-03-22
EXP00115,POL00046,Survey Fee,1435.23,2024-12-31
EXP00116,POL00046,IT Allocation,1555.95,2024-06-07
EXP00117,POL00047,Broker Fee,5617.19,2023-09-23
EXP00118,POL00047,IT Allocation,1952.94,2024-08-20
EXP00119,POL00047,Survey Fee,1544.97,2024-03-23
EXP00120,POL00048,Agent Commission,12525.67,2024-03-20
EXP00121,POL00048,Policy Admin,3683.07,2024-08-07
EXP00122,POL00048,IT Allocation,3418.43,2024-03-27
EXP00123,POL00049,Agent Commission,15165.75,2024-02-25
EXP00124,POL00049,IT Allocation,4289.17,2024-03-08
EXP00125,POL00049,Survey Fee,6293.43,2024-11-03
EXP00126,POL00050,Broker Fee,4523.48,2024-08-07
EXP00127,POL00050,Survey Fee,2909.7,2025-05-22
EXP00128,POL00051,Broker Fee,10049.9,2024-04-24
EXP00129,POL00051,Survey Fee,2860.85,2025-03-27
EXP00130,POL00052,Agent Commission,4335.48,2023-10-20
EXP00131,POL00052,IT Allocation,1159.03,2024-02-27
EXP00132,POL00053,Broker Fee,2465.54,2023-07-25
EXP00133,POL00053,Policy Admin,674.31,2023-09-06
EXP00134,POL00053,IT Allocation,470.24,2023-09-27
EXP00135,POL00054,Broker Fee,16599.89,2024-08-14
EXP00136,POL00054,Policy Admin,4082.17,2024-08-31
EXP00137,POL00054,Policy Admin,3262.18,2025-05-22
EXP00138,POL00055,Agent Commission,3511.53,2024-03-13
EXP00139,POL00055,IT Allocation,943.86,2024-10-31
EXP00140,POL00055,Policy Admin,767.43,2024-05-06
EXP00141,POL00056,Agent Commission,2041.31,2024-04-14
EXP00142,POL00056,Survey Fee,817.8,2025-01-02
EXP00143,POL00056,Survey Fee,971.08,2024-05-08
EXP00144,POL00057,Agent Commission,4884.96,2024-07-15
EXP00145,POL00057,IT Allocation,2911.39,2024-08-30
EXP00146,POL00057,Survey Fee,2214.14,2024-10-31
EXP00147,POL00058,Agent Commission,5923.55,2023-09-02
EXP00148,POL00058,Policy Admin,1527.95,2024-04-25
EXP00149,POL00059,Agent Commission,2918.62,2023-05-23
EXP00150,POL00059,IT Allocation,1095.6,2023-07-19
EXP00151,POL00059,Survey Fee,1034.12,2023-09-15
EXP00152,POL00060,Broker Fee,3012.82,2024-07-11
EXP00153,POL00060,IT Allocation,1268.93,2024-08-09
EXP00154,POL00061,Agent Commission,13076.48,2024-05-05
EXP00155,POL00061,Survey Fee,4089.52,2024-08-22
EXP00156,POL00061,Policy Admin,4983.91,2024-09-01
EXP00157,POL00062,Broker Fee,4602.7,2024-05-16
EXP00158,POL00062,IT Allocation,1273.0,2024-10-12
EXP00159,POL00063,Agent Commission,7826.01,2024-04-23
EXP00160,POL00063,IT Allocation,3829.35,2025-01-01
EXP00161,POL00064,Broker Fee,1585.1,2023-03-27
EXP00162,POL00064,IT Allocation,342.55,2023-05-22
EXP00163,POL00065,Agent Commission,8889.34,2024-04-10
EXP00164,POL00065,Policy Admin,3300.6,2025-01-19
EXP00165,POL00065,Survey Fee,1804.69,2024-08-17
EXP00166,POL00066,Broker Fee,4157.91,2024-04-29
EXP00167,POL00066,Survey Fee,583.05,2024-11-15
EXP00168,POL00067,Broker Fee,2009.81,2023-02-01
EXP00169,POL00067,Survey Fee,742.14,2023-11-24
EXP00170,POL00067,Policy Admin,641.34,2023-10-19
EXP00171,POL00068,Broker Fee,3016.41,2024-08-02
EXP00172,POL00068,IT Allocation,781.72,2025-06-12
EXP00173,POL00068,Policy Admin,665.79,2025-05-08
EXP00174,POL00069,Broker Fee,1337.44,2023-06-21
EXP00175,POL00069,IT Allocation,457.94,2024-05-18
EXP00176,POL00069,Policy Admin,421.93,2023-09-29
EXP00177,POL00070,Broker Fee,18186.97,2023-07-27
EXP00178,POL00070,IT Allocation,4838.96,2023-09-03
EXP00179,POL00071,Broker Fee,3079.06,2024-08-03
EXP00180,POL00071,IT Allocation,1055.45,2024-10-29
EXP00181,POL00071,IT Allocation,653.02,2025-03-09
EXP00182,POL00072,Agent Commission,1220.75,2024-03-10
EXP00183,POL00072,Policy Admin,258.95,2024-05-21
EXP00184,POL00073,Agent Commission,27400.46,2023-06-30
EXP00185,POL00073,IT Allocation,5370.56,2023-07-26
EXP00186,POL00073,IT Allocation,8865.95,2024-01-24
EXP00187,POL00074,Broker Fee,14940.55,2024-03-22
EXP00188,POL00074,Policy Admin,3768.54,2024-05-07
EXP00189,POL00074,IT Allocation,7478.33,2024-07-16
EXP00190,POL00075,Agent Commission,14514.23,2023-09-10
EXP00191,POL00075,Survey Fee,4369.18,2024-04-16
EXP00192,POL00076,Agent Commission,10147.77,2024-05-18
EXP00193,POL00076,Survey Fee,3080.37,2024-06-29
EXP00194,POL00076,IT Allocation,1730.05,2024-09-11
EXP00195,POL00077,Agent Commission,969.34,2024-06-17
EXP00196,POL00077,IT Allocation,307.99,2025-03-19
EXP00197,POL00077,Policy Admin,334.48,2025-05-09
EXP00198,POL00078,Broker Fee,5456.58,2024-04-08
EXP00199,POL00078,Survey Fee,2320.8,2025-02-02
EXP00200,POL00079,Broker Fee,8229.31,2024-04-29
EXP00201,POL00079,Survey Fee,3344.29,2025-02-14
EXP00202,POL00080,Agent Commission,4115.53,2023-11-14
EXP00203,POL00080,IT Allocation,2046.22,2024-04-29
EXP00204,POL00080,Survey Fee,2128.93,2024-05-04
EXP00205,POL00081,Broker Fee,3890.53,2023-08-15
EXP00206,POL00081,IT Allocation,1584.48,2024-06-03
EXP00207,POL00081,IT Allocation,1020.56,2024-05-27
EXP00208,POL00082,Broker Fee,2087.99,2023-07-21
EXP00209,POL00082,Survey Fee,427.22,2023-08-14
EXP00210,POL00082,Policy Admin,935.9,2024-04-18
EXP00211,POL00083,Broker Fee,5055.08,2023-02-25
EXP00212,POL00083,Survey Fee,2007.16,2023-06-24
EXP00213,POL00083,IT Allocation,705.43,2023-07-26
EXP00214,POL00084,Agent Commission,2977.22,2024-08-10
EXP00215,POL00084,Policy Admin,987.74,2024-11-07
EXP00216,POL00085,Agent Commission,1058.52,2023-03-09
EXP00217,POL00085,IT Allocation,563.29,2023-05-04
EXP00218,POL00085,IT Allocation,386.59,2023-07-07
EXP00219,POL00086,Broker Fee,3023.19,2023-04-01
EXP00220,POL00086,Policy Admin,1399.35,2024-01-28
EXP00221,POL00087,Broker Fee,9800.21,2024-04-06
EXP00222,POL00087,Survey Fee,1863.85,2024-05-14
EXP00223,POL00087,Survey Fee,2732.03,2024-11-24
EXP00224,POL00088,Agent Commission,2276.62,2023-04-13
EXP00225,POL00088,Survey Fee,711.54,2024-03-10
EXP00226,POL00089,Agent Commission,1273.65,2024-07-21
EXP00227,POL00089,Policy Admin,502.74,2024-11-19
EXP00228,POL00090,Broker Fee,5657.42,2023-10-26
EXP00229,POL00090,Survey Fee,1956.1,2024-03-29
EXP00230,POL00091,Broker Fee,2878.96,2024-03-11
EXP00231,POL00091,IT Allocation,1365.47,2024-04-15
EXP00232,POL00091,Survey Fee,1145.95,2024-05-03
EXP00233,POL00092,Agent Commission,3455.74,2023-06-20
EXP00234,POL00092,Survey Fee,1271.86,2024-03-04
EXP00235,POL00092,IT Allocation,1383.46,2023-10-07
EXP00236,POL00093,Agent Commission,23424.15,2023-11-09
EXP00237,POL00093,Survey Fee,5831.37,2024-06-25
EXP00238,POL00094,Agent Commission,3881.11,2024-03-18
EXP00239,POL00094,Policy Admin,1120.71,2024-09-22
EXP00240,POL00094,IT Allocation,995.96,2025-01-26
EXP00241,POL00095,Broker Fee,2960.2,2023-10-04
EXP00242,POL00095,IT Allocation,1617.85,2024-05-26
EXP00243,POL00095,Policy Admin,936.05,2023-11-04
EXP00244,POL00096,Broker Fee,7148.75,2024-08-23
EXP00245,POL00096,Policy Admin,1863.28,2024-09-28
EXP00246,POL00097,Agent Commission,9206.45,2023-04-20
EXP00247,POL00097,Survey Fee,2120.81,2023-06-23
EXP00248,POL00098,Agent Commission,1933.35,2024-04-12
EXP00249,POL00098,Policy Admin,860.01,2024-08-06
EXP00250,POL00099,Broker Fee,13969.39,2024-03-03
EXP00251,POL00099,IT Allocation,5306.81,2024-05-20
EXP00252,POL00099,Survey Fee,5664.58,2024-03-18
EXP00253,POL00100,Agent Commission,10217.59,2023-10-03
EXP00254,POL00100,IT Allocation,1894.86,2024-01-21
EXP00255,POL00101,Agent Commission,1975.27,2023-06-15
EXP00256,POL00101,IT Allocation,363.2,2023-11-07
EXP00257,POL00102,Broker Fee,4819.78,2023-06-07
EXP00258,POL00102,Policy Admin,1094.1,2023-12-31
EXP00259,POL00103,Agent Commission,6503.43,2024-04-14
EXP00260,POL00103,Policy Admin,2392.89,2025-01-19
EXP00261,POL00103,Survey Fee,1201.75,2025-01-03
EXP00262,POL00104,Agent Commission,14596.36,2024-02-29
EXP00263,POL00104,Survey Fee,6963.62,2024-08-13
EXP00264,POL00105,Agent Commission,12839.71,2023-06-02
EXP00265,POL00105,IT Allocation,5321.73,2023-12-10
EXP00266,POL00105,Survey Fee,3605.27,2024-02-23
EXP00267,POL00106,Broker Fee,6984.58,2023-07-16
EXP00268,POL00106,Policy Admin,2948.62,2023-12-13
EXP00269,POL00107,Broker Fee,11371.23,2024-05-04
EXP00270,POL00107,IT Allocation,2950.34,2024-11-20
EXP00271,POL00108,Agent Commission,28581.24,2023-02-10
EXP00272,POL00108,Survey Fee,8330.42,2023-09-23
EXP00273,POL00109,Broker Fee,14324.52,2023-01-19
EXP00274,POL00109,IT Allocation,2818.45,2023-04-06
