policy_id,policy_number,customer_id,product_code,line_of_business,policy_start_date,policy_end_date,policy_status,gross_written_premium,net_written_premium,sum_insured,branch_code
POL00001,PN-2023-00001,CUST0148,HEALTH-FAM,Health,2023-03-13,2024-03-12,Cancelled,32092.37,28485.84,300271.09,BR-BLR
POL00002,PN-2023-00002,CUST0026,MARINE-CARGO,Marine,2023-10-12,2024-10-11,Expired,171798.77,149661.65,2411986.34,BR-PUN
POL00003,PN-2023-00003,CUST0069,MOTOR-TP,Motor,2023-06-25,2024-06-24,Expired,17058.0,15524.38,214745.09,BR-PUN
POL00004,PN-2023-00004,CUST0143,HEALTH-FAM,Health,2023-11-29,2024-11-28,Expired,73199.99,64399.61,625545.46,BR-CHN
POL00005,PN-2023-00005,CUST0103,PROP-FIRE,Property,2023-03-09,2024-03-08,Expired,142578.26,137435.15,1903351.9,BR-PUN
POL00006,PN-2024-00006,CUST0128,MARINE-CARGO,Marine,2024-04-14,2025-04-14,Active,53737.15,50880.94,922269.96,BR-PUN
POL00007,PN-2024-00007,CUST0150,MARINE-CARGO,Marine,2024-08-20,2025-08-20,Active,67284.53,65917.3,1121091.27,BR-HYD
POL00008,PN-2023-00008,CUST0013,MOTOR-TP,Motor,2023-06-06,2024-06-05,Expired,37306.94,33758.33,338745.93,BR-MUM
POL00009,PN-2024-00009,CUST0153,LIAB-GEN,Liability,2024-06-25,2025-06-25,Active,124048.4,120639.06,2426984.37,BR-HYD
POL00010,PN-2023-00010,CUST0138,PROP-FIRE,Property,2023-12-15,2024-12-14,Active,76519.48,69554.99,1852909.32,BR-PUN
POL00011,PN-2024-00011,CUST0068,HEALTH-IND,Health,2024-06-03,2025-06-03,Active,80288.89,71360.59,1514420.4,BR-DEL
POL00012,PN-2024-00012,CUST0051,HEALTH-IND,Health,2024-01-18,2025-01-17,Active,55453.43,52748.49,943596.25,BR-HYD
POL00013,PN-2024-00013,CUST0154,PROP-BURG,Property,2024-05-15,2025-05-15,Cancelled,140782.82,135747.56,3116694.27,BR-CHN
POL00014,PN-2023-00014,CUST0062,MOTOR-COMP,Motor,2023-09-04,2024-09-03,Expired,43037.13,37060.78,699862.83,BR-HYD
POL00015,PN-2023-00015,CUST0137,HEALTH-IND,Health,2023-05-12,2024-05-11,Expired,86013.65,74958.01,1459690.72,BR-DEL
POL00016,PN-2024-00016,CUST0109,HEALTH-FAM,Health,2024-07-06,2025-07-06,Active,66740.07,62914.75,986609.72,BR-PUN
POL00017,PN-2024-00017,CUST0096,LIAB-GEN,Liability,2024-06-13,2025-06-13,Active,72143.95,61922.84,602949.01,BR-DEL
POL00018,PN-2023-00018,CUST0059,HEALTH-FAM,Health,2023-01-08,2024-01-08,Cancelled,62332.72,54837.99,1458095.73,BR-CHN
POL00019,PN-2023-00019,CUST0019,HEALTH-FAM,Health,2023-10-13,2024-10-12,Expired,31067.76,26941.98,742635.72,BR-DEL
POL00020,PN-2023-00020,CUST0148,LIAB-GEN,Liability,2023-09-06,2024-09-05,Expired,167274.49,146323.91,1613834.81,BR-MUM
POL00021,PN-2024-00021,CUST0091,MARINE-CARGO,Marine,2024-02-25,2025-02-24,Active,153942.89,144327.22,3807132.15,BR-HYD
POL00022,PN-2023-00022,CUST0016,MARINE-CARGO,Marine,2023-12-14,2024-12-13,Active,48575.74,42499.24,831464.03,BR-BLR
POL00023,PN-2023-00023,CUST0109,HEALTH-IND,Health,2023-10-13,2024-10-12,Expired,80586.45,69288.23,1751657.55,BR-DEL
POL00024,PN-2024-00024,CUST0026,MOTOR-COMP,Motor,2024-07-07,2025-07-07,Active,43852.86,42556.03,983524.38,BR-BLR
POL00025,PN-2024-00025,CUST0105,LIAB-GEN,Liability,2024-05-07,2025-05-07,Active,98176.85,84198.69,1417923.38,BR-MUM
POL00026,PN-2023-00026,CUST0068,LIAB-GEN,Liability,2023-10-20,2024-10-19,Expired,192744.0,188774.43,3363009.17,BR-PUN
POL00027,PN-2023-00027,CUST0125,HEALTH-IND,Health,2023-07-14,2024-07-13,Expired,87653.2,81104.93,1509153.06,BR-PUN
POL00028,PN-2023-00028,CUST0081,MOTOR-COMP,Motor,2023-02-21,2024-02-21,Expired,26605.46,25563.95,284049.37,BR-DEL
POL00029,PN-2023-00029,CUST0021,HEALTH-IND,Health,2023-03-12,2024-03-11,Expired,65640.94,57801.87,658908.51,BR-DEL
POL00030,PN-2023-00030,CUST0064,MOTOR-COMP,Motor,2023-03-25,2024-03-24,Expired,29595.87,27167.88,707045.52,BR-BLR
POL00031,PN-2023-00031,CUST0081,HEALTH-FAM,Health,2023-09-29,2024-09-28,Expired,65376.77,58119.92,874415.11,BR-HYD
POL00032,PN-2024-00032,CUST0003,LIAB-GEN,Liability,2024-07-30,2025-07-30,Active,42454.32,37262.58,531035.92,BR-CHN
POL00033,PN-2024-00033,CUST0018,HEALTH-FAM,Health,2024-01-14,2025-01-13,Active,47863.84,44064.33,629064.47,BR-PUN
POL00034,PN-2024-00034,CUST0136,MOTOR-COMP,Motor,2024-07-21,2025-07-21,Active,32545.38,31636.09,334662.48,BR-HYD
POL00035,PN-2023-00035,CUST0028,HEALTH-IND,Health,2023-10-06,2024-10-05,Expired,30797.22,27550.41,606318.77,BR-CHN
POL00036,PN-2023-00036,CUST0130,LIAB-GEN,Liability,2023-09-15,2024-09-14,Expired,173837.63,149847.83,2642468.98,BR-CHN
POL00037,PN-2023-00037,CUST0012,MOTOR-COMP,Motor,2023-12-08,2024-12-07,Active,31573.19,27912.41,650436.93,BR-DEL
POL00038,PN-2023-00038,CUST0110,MOTOR-COMP,Motor,2023-04-25,2024-04-24,Cancelled,40674.94,39353.44,702661.01,BR-CHN
POL00039,PN-2024-00039,CUST0150,HEALTH-IND,Health,2024-03-16,2025-03-16,Active,38119.38,36856.39,820865.75,BR-HYD
POL00040,PN-2023-00040,CUST0092,HEALTH-FAM,Health,2023-09-13,2024-09-12,Expired,41525.9,38319.47,949702.16,BR-DEL
POL00041,PN-2023-00041,CUST0040,HEALTH-FAM,Health,2023-06-16,2024-06-15,Expired,75807.88,73123.08,638406.07,BR-PUN
POL00042,PN-2023-00042,CUST0086,MARINE-CARGO,Marine,2023-09-12,2024-09-11,Expired,163853.67,141578.16,3740260.74,BR-MUM
POL00043,PN-2024-00043,CUST0057,HEALTH-FAM,Health,2024-04-16,2025-04-16,Active,76540.23,73729.06,902386.37,BR-PUN
POL00044,PN-2023-00044,CUST0050,MARINE-CARGO,Marine,2023-12-03,2024-12-02,Active,41801.53,39733.71,583945.81,BR-DEL
POL00045,PN-2023-00045,CUST0103,PROP-BURG,Property,2023-01-29,2024-01-29,Expired,146152.08,127622.02,3560715.31,BR-CHN
POL00046,PN-2024-00046,CUST0010,MOTOR-TP,Motor,2024-03-20,2025-03-20,Active,37097.84,33637.77,917504.13,BR-HYD
POL00047,PN-2023-00047,CUST0099,HEALTH-FAM,Health,2023-09-18,2024-09-17,Cancelled,47704.31,43772.98,1035693.24,BR-PUN
POL00048,PN-2024-00048,CUST0051,PROP-BURG,Property,2024-03-17,2025-03-17,Cancelled,106350.9,94963.48,1418355.79,BR-HYD
POL00049,PN-2024-00049,CUST0077,PROP-FIRE,Property,2024-02-23,2025-02-22,Active,110637.09,102015.54,1245915.42,BR-PUN
POL00050,PN-2024-00050,CUST0098,HEALTH-IND,Health,2024-08-05,2025-08-05,Active,56095.29,47683.96,722368.96,BR-MUM
POL00051,PN-2024-00051,CUST0149,PROP-BURG,Property,2024-04-21,2025-04-21,Active,107831.54,98822.5,2317677.4,BR-PUN
POL00052,PN-2023-00052,CUST0044,MOTOR-TP,Motor,2023-10-18,2024-10-17,Expired,31418.81,28075.05,688486.63,BR-BLR
POL00053,PN-2023-00053,CUST0080,HEALTH-FAM,Health,2023-07-23,2024-07-22,Expired,18466.03,18058.15,339620.9,BR-HYD
POL00054,PN-2024-00054,CUST0117,MARINE-CARGO,Marine,2024-08-12,2025-08-12,Active,148380.22,135659.44,1802483.66,BR-PUN
POL00055,PN-2024-00055,CUST0002,MOTOR-TP,Motor,2024-03-11,2025-03-11,Active,37752.06,35504.62,600157.64,BR-DEL
POL00056,PN-2024-00056,CUST0064,MOTOR-TP,Motor,2024-04-12,2025-04-12,Active,25191.8,23152.45,440900.08,BR-CHN
POL00057,PN-2024-00057,CUST0114,MARINE-CARGO,Marine,2024-07-15,2025-07-15,Active,57056.84,54888.36,893007.21,BR-BLR
POL00058,PN-2023-00058,CUST0071,LIAB-GEN,Liability,2023-09-02,2024-09-01,Expired,43172.17,38299.96,544796.38,BR-CHN
POL00059,PN-2023-00059,CUST0139,MOTOR-TP,Motor,2023-05-22,2024-05-21,Expired,22172.31,19286.91,258023.58,BR-MUM
POL00060,PN-2024-00060,CUST0105,PROP-BURG,Property,2024-07-09,2025-07-09,Active,28094.54,26922.32,410773.24,BR-DEL
POL00061,PN-2024-00061,CUST0006,MARINE-CARGO,Marine,2024-05-03,2025-05-03,Cancelled,89799.0,85125.12,2021251.13,BR-MUM
POL00062,PN-2024-00062,CUST0138,HEALTH-FAM,Health,2024-05-14,2025-05-14,Active,47687.7,40714.48,653998.76,BR-PUN
POL00063,PN-2024-00063,CUST0104,HEALTH-IND,Health,2024-04-23,2025-04-23,Active,88554.15,81419.88,2073742.55,BR-DEL
POL00064,PN-2023-00064,CUST0145,MOTOR-COMP,Motor,2023-03-27,2024-03-26,Expired,13020.88,11849.27,115297.79,BR-MUM
POL00065,PN-2024-00065,CUST0084,HEALTH-FAM,Health,2024-04-10,2025-04-10,Active,72092.23,64831.56,1498376.95,BR-MUM
POL00066,PN-2024-00066,CUST0065,MOTOR-TP,Motor,2024-04-26,2025-04-26,Cancelled,27958.5,27398.99,390002.23,BR-PUN
POL00067,PN-2023-00067,CUST0018,MOTOR-COMP,Motor,2023-02-01,2024-02-01,Expired,15376.35,13110.64,162843.23,BR-BLR
POL00068,PN-2024-00068,CUST0122,MOTOR-TP,Motor,2024-07-31,2025-07-31,Active,25206.26,22264.98,359724.03,BR-DEL
POL00069,PN-2023-00069,CUST0156,MOTOR-TP,Motor,2023-06-17,2024-06-16,Expired,11999.65,10239.76,159634.62,BR-PUN
POL00070,PN-2023-00070,CUST0097,MARINE-CARGO,Marine,2023-07-23,2024-07-22,Cancelled,147404.45,137313.36,1434587.6,BR-CHN
POL00071,PN-2024-00071,CUST0154,MOTOR-TP,Motor,2024-08-02,2025-08-02,Active,20846.54,18880.48,298099.37,BR-DEL
POL00072,PN-2024-00072,CUST0088,MOTOR-COMP,Motor,2024-03-06,2025-03-06,Active,11904.94,11606.15,223871.76,BR-MUM
POL00073,PN-2023-00073,CUST0040,MARINE-CARGO,Marine,2023-06-30,2024-06-29,Expired,194130.53,171827.01,4220278.67,BR-DEL
POL00074,PN-2024-00074,CUST0124,LIAB-GEN,Liability,2024-03-22,2025-03-22,Active,130720.69,116589.73,1591317.58,BR-HYD
POL00075,PN-2023-00075,CUST0072,LIAB-GEN,Liability,2023-09-07,2024-09-06,Expired,126874.44,118864.16,1740557.78,BR-MUM
POL00076,PN-2024-00076,CUST0084,HEALTH-IND,Health,2024-05-14,2025-05-14,Active,74837.43,66922.93,1718674.48,BR-PUN
POL00077,PN-2024-00077,CUST0071,MOTOR-COMP,Motor,2024-06-13,2025-06-13,Active,11167.68,10537.93,182098.22,BR-BLR
POL00078,PN-2024-00078,CUST0122,LIAB-GEN,Liability,2024-04-03,2025-04-03,Active,45819.07,40266.14,905402.31,BR-CHN
POL00079,PN-2024-00079,CUST0149,PROP-BURG,Property,2024-04-29,2025-04-29,Active,64688.46,63366.36,1122771.99,BR-CHN
POL00080,PN-2023-00080,CUST0117,PROP-FIRE,Property,2023-11-10,2024-11-09,Expired,35685.27,31225.89,358009.99,BR-DEL
POL00081,PN-2023-00081,CUST0048,HEALTH-FAM,Health,2023-08-10,2024-08-09,Expired,35737.47,33115.99,747754.18,BR-DEL
POL00082,PN-2023-00082,CUST0073,MOTOR-TP,Motor,2023-07-18,2024-07-17,Expired,21352.6,18988.76,427827.4,BR-BLR
POL00083,PN-2023-00083,CUST0071,MOTOR-COMP,Motor,2023-02-25,2024-02-25,Expired,33804.44,29288.72,769518.88,BR-MUM
POL00084,PN-2024-00084,CUST0027,MOTOR-COMP,Motor,2024-08-10,2025-08-10,Active,25712.43,22994.41,627729.38,BR-CHN
POL00085,PN-2023-00085,CUST0123,MOTOR-TP,Motor,2023-03-08,2024-03-07,Expired,10741.04,10008.8,95717.21,BR-BLR
POL00086,PN-2023-00086,CUST0145,PROP-FIRE,Property,2023-03-29,2024-03-28,Expired,35398.7,33606.73,648058.16,BR-DEL
POL00087,PN-2024-00087,CUST0058,MARINE-CARGO,Marine,2024-04-06,2025-04-06,Active,80550.03,74630.27,1231618.59,BR-DEL
POL00088,PN-2023-00088,CUST0159,MOTOR-COMP,Motor,2023-04-12,2024-04-11,Expired,15688.15,13765.3,301640.43,BR-BLR
POL00089,PN-2024-00089,CUST0062,HEALTH-IND,Health,2024-07-19,2025-07-19,Cancelled,15200.68,13810.81,275053.12,BR-CHN
POL00090,PN-2023-00090,CUST0009,HEALTH-FAM,Health,2023-10-23,2024-10-22,Expired,67724.07,61562.81,1333185.14,BR-CHN
POL00091,PN-2024-00091,CUST0151,HEALTH-FAM,Health,2024-03-11,2025-03-11,Active,31860.71,27698.7,398760.75,BR-BLR
POL00092,PN-2023-00092,CUST0019,MOTOR-COMP,Motor,2023-06-19,2024-06-18,Expired,30016.63,28730.45,710201.66,BR-MUM
POL00093,PN-2023-00093,CUST0032,LIAB-GEN,Liability,2023-11-08,2024-11-07,Expired,190254.96,174094.97,3119138.5,BR-HYD
POL00094,PN-2024-00094,CUST0154,MOTOR-COMP,Motor,2024-03-18,2025-03-18,Active,30337.4,25888.8,360763.72,BR-PUN
POL00095,PN-2023-00095,CUST0148,MOTOR-COMP,Motor,2023-10-03,2024-10-02,Expired,36235.03,31625.02,609559.64,BR-MUM
POL00096,PN-2024-00096,CUST0072,HEALTH-IND,Health,2024-08-22,2025-08-22,Active,76068.37,74240.99,1216346.68,BR-MUM
POL00097,PN-2023-00097,CUST0086,PROP-BURG,Property,2023-04-18,2024-04-17,Expired,62874.48,59113.18,811062.09,BR-MUM
POL00098,PN-2024-00098,CUST0141,MOTOR-COMP,Motor,2024-04-10,2025-04-10,Active,17338.76,14999.24,366425.47,BR-DEL
POL00099,PN-2024-00099,CUST0001,LIAB-GEN,Liability,2024-02-28,2025-02-27,Cancelled,118134.7,109976.6,1946196.26,BR-MUM
POL00100,PN-2023-00100,CUST0014,HEALTH-FAM,Health,2023-10-01,2024-09-30,Expired,84575.46,76706.14,1680535.58,BR-HYD
POL00101,PN-2023-00101,CUST0008,HEALTH-FAM,Health,2023-06-12,2024-06-11,Expired,16025.58,14471.72,189420.93,BR-HYD
POL00102,PN-2023-00102,CUST0119,MOTOR-TP,Motor,2023-06-07,2024-06-06,Expired,34514.32,31620.41,436544.82,BR-MUM
POL00103,PN-2024-00103,CUST0121,HEALTH-FAM,Health,2024-04-12,2025-04-12,Active,43768.95,42449.0,728319.49,BR-BLR
POL00104,PN-2024-00104,CUST0018,PROP-FIRE,Property,2024-02-29,2025-02-28,Active,122403.26,108294.14,984564.01,BR-PUN
POL00105,PN-2023-00105,CUST0077,LIAB-GEN,Liability,2023-06-02,2024-06-01,Expired,112338.04,100342.27,2355597.88,BR-MUM
POL00106,PN-2023-00106,CUST0117,PROP-BURG,Property,2023-07-13,2024-07-12,Expired,51044.72,45929.34,1151171.79,BR-MUM
POL00107,PN-2024-00107,CUST0012,PROP-BURG,Property,2024-04-29,2025-04-29,Active,125483.16,112958.72,2419655.4,BR-PUN
POL00108,PN-2023-00108,CUST0039,LIAB-GEN,Liability,2023-02-07,2024-02-07,Expired,194110.11,173371.25,1884071.21,BR-MUM
POL00109,PN-2023-00109,CUST0026,LIAB-GEN,Liability,2023-01-16,2024-01-16,Expired,99696.37,93228.23,1059188.26,BR-MUM
POL00110,PN-2024-00110,CUST0068,PROP-BURG,Property,2024-02-12,2025-02-11,Active,130729.49,125605.47,2955639.13,BR-MUM
POL00111,PN-2024-00111,CUST0082,LIAB-GEN,Liability,2024-07-08,2025-07-08,Cancelled,41631.53,38802.71,984826.93,BR-BLR
POL00112,PN-2023-00112,CUST0024,MARINE-CARGO,Marine,2023-04-11,2024-04-10,Expired,149661.44,129167.69,1620564.21,BR-CHN
POL00113,PN-2023-00113,CUST0008,MOTOR-COMP,Motor,2023-11-29,2024-11-28,Expired,18854.61,16945.19,197496.13,BR-DEL
POL00114,PN-2023-00114,CUST0106,HEALTH-IND,Health,2023-06-24,2024-06-23,Expired,60711.88,54624.35,1190759.58,BR-MUM
POL00115,PN-2023-00115,CUST0150,HEALTH-IND,Health,2023-08-26,2024-08-25,Expired,34048.3,30071.2,277825.83,BR-MUM
POL00116,PN-2023-00116,CUST0074,HEALTH-IND,Health,2023-03-17,2024-03-16,Expired,40917.42,37905.26,771782.66,BR-MUM
