uw_id,policy_id,underwriter_id,risk_score,risk_category,uw_decision,uw_date,premium_loading_percentage,discount_percentage,manual_override_flag
UWT00001,POL00001,UW001,410,High,Approved,2023-03-06,22.65,3.64,N
UWT00002,POL00002,UW001,883,Low,Approved,2023-10-03,1.09,5.77,N
UWT00003,POL00003,UW005,421,High,Approved,2023-06-19,6.93,1.87,N
UWT00004,POL00004,UW003,503,Medium,Approved,2023-11-20,4.01,25.99,N
UWT00005,POL00005,UW008,452,High,Approved,2023-02-27,15.31,1.64,N
UWT00006,POL00006,UW012,606,Medium,Approved,2024-04-06,5.07,5.1,N
UWT00007,POL00007,UW001,677,Medium,Approved,2024-08-19,1.1,4.17,N
UWT00008,POL00008,UW010,785,Low,Approved,2023-06-05,1.97,19.44,N
UWT00009,POL00009,UW010,791,Low,Approved,2024-06-21,1.89,12.39,Y
UWT00010,POL00010,UW001,886,Low,Approved,2023-12-11,0.33,0.38,N
UWT00011,POL00011,UW007,813,Low,Approved,2024-05-31,2.76,17.46,Y
UWT00012,POL00012,UW009,512,Medium,Approved,2024-01-10,9.98,4.78,N
UWT00013,POL00013,UW009,650,Medium,Approved,2024-05-10,6.76,8.68,N
UWT00014,POL00014,UW010,795,Low,Approved,2023-08-30,0.74,11.16,N
UWT00015,POL00015,UW005,512,Medium,Approved,2023-05-07,4.89,4.8,N
UWT00016,POL00016,UW005,424,High,Approved,2024-07-03,15.86,4.48,N
UWT00017,POL00017,UW005,343,High,Approved,2024-06-05,19.28,1.73,N
UWT00018,POL00018,UW004,506,Medium,Approved,2022-12-29,2.71,5.62,Y
UWT00019,POL00019,UW004,548,Medium,Declined,2023-10-07,9.05,2.26,Y
UWT00020,POL00020,UW012,783,Low,Referred,2023-08-30,2.31,0.1,N
UWT00021,POL00021,UW011,787,Low,Approved,2024-02-23,0.6,19.28,N
UWT00022,POL00022,UW011,887,Low,Approved,2023-12-11,2.22,28.9,N
UWT00023,POL00023,UW001,706,Low,Approved,2023-10-12,0.56,14.98,N
UWT00024,POL00024,UW001,605,Medium,Approved,2024-06-28,1.07,9.83,N
UWT00025,POL00025,UW009,805,Low,Approved,2024-05-01,0.4,10.08,N
UWT00026,POL00026,UW003,769,Low,Approved,2023-10-16,2.16,0.28,N
UWT00027,POL00027,UW003,715,Low,Approved,2023-07-11,1.55,1.73,N
UWT00028,POL00028,UW008,631,Medium,Approved,2023-02-15,0.07,3.84,N
UWT00029,POL00029,UW005,896,Low,Approved,2023-03-10,0.03,13.07,Y
UWT00030,POL00030,UW008,614,Medium,Approved,2023-03-23,6.86,9.23,N
UWT00031,POL00031,UW011,602,Medium,Approved,2023-09-19,2.21,9.57,N
UWT00032,POL00032,UW006,725,Low,Approved,2024-07-26,2.74,15.15,N
UWT00033,POL00033,UW011,383,High,Approved,2024-01-05,15.56,1.81,Y
UWT00034,POL00034,UW009,507,Medium,Approved,2024-07-17,1.5,3.28,Y
UWT00035,POL00035,UW012,897,Low,Approved,2023-09-26,2.7,17.85,N
UWT00036,POL00036,UW001,872,Low,Approved,2023-09-11,2.42,14.47,N
UWT00037,POL00037,UW010,374,High,Declined,2023-12-06,11.89,0.32,N
UWT00038,POL00038,UW008,332,High,Approved,2023-04-18,8.6,0.68,N
UWT00039,POL00039,UW006,691,Medium,Approved,2024-03-13,9.17,29.5,N
UWT00040,POL00040,UW011,656,Medium,Referred,2023-09-12,9.93,3.93,N
UWT00041,POL00041,UW001,605,Medium,Approved,2023-06-08,7.19,4.24,N
UWT00042,POL00042,UW006,458,High,Approved,2023-09-11,23.75,27.33,N
UWT00043,POL00043,UW004,511,Medium,Referred,2024-04-12,5.94,4.46,N
UWT00044,POL00044,UW012,345,High,Approved,2023-11-24,9.69,1.09,Y
UWT00045,POL00045,UW005,539,Medium,Approved,2023-01-23,7.32,3.19,N
UWT00046,POL00046,UW004,609,Medium,Approved,2024-03-11,9.86,5.21,N
UWT00047,POL00047,UW010,479,High,Approved,2023-09-11,13.54,2.48,N
UWT00048,POL00048,UW009,626,Medium,Approved,2024-03-13,4.08,3.0,N
UWT00049,POL00049,UW004,607,Medium,Approved,2024-02-14,1.44,21.78,N
UWT00050,POL00050,UW003,697,Medium,Approved,2024-08-03,2.03,6.47,N
UWT00051,POL00051,UW009,495,High,Declined,2024-04-11,12.54,17.02,N
UWT00052,POL00052,UW012,872,Low,Approved,2023-10-14,0.63,18.14,N
UWT00053,POL00053,UW004,420,High,Approved,2023-07-16,20.09,4.57,N
UWT00054,POL00054,UW004,865,Low,Approved,2024-08-06,0.85,9.33,N
UWT00055,POL00055,UW009,809,Low,Approved,2024-03-07,2.41,14.45,N
UWT00056,POL00056,UW006,620,Medium,Approved,2024-04-02,5.63,2.21,N
UWT00057,POL00057,UW010,727,Low,Approved,2024-07-06,0.59,4.6,N
UWT00058,POL00058,UW011,645,Medium,Approved,2023-08-30,8.22,9.67,N
UWT00059,POL00059,UW012,660,Medium,Approved,2023-05-21,7.2,4.88,N
UWT00060,POL00060,UW009,334,High,Approved,2024-07-05,6.49,16.09,Y
UWT00061,POL00061,UW002,454,High,Declined,2024-04-23,15.11,1.87,N
UWT00062,POL00062,UW008,799,Low,Declined,2024-05-09,1.6,26.11,N
UWT00063,POL00063,UW001,814,Low,Approved,2024-04-21,2.02,16.12,Y
UWT00064,POL00064,UW009,452,High,Approved,2023-03-25,17.4,1.26,N
